,CVE_DOC,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
1125,F39256,2533.27,0.0,0.0,2533.27,0.0,684.8
1126,F39259,2359.7,338.22,338.22,9438.8,1352.89,2021.48
1127,F39260,772.6,0.0,49.16,772.6,49.16,723.44
1128,F39265,462.07,220.0,220.0,1848.28,880.0,242.07
1129,F39270,1194.66,0.0,0.0,3583.98,0.0,1194.66
1130,F39271,932.0,0.0,207.69,1864.0,415.38,724.31
1131,F39271,730.8,0.0,126.52,1461.6,253.04,604.28
1132,F39272,1911.0,0.0,329.0,1911.0,329.0,1582.0
1133,F39273,1572.45,108.0,600.03,4717.35,1800.09,972.42
1134,F39274,485.0,0.0,144.4,4850.0,1444.0,340.6
1135,F39278,1127.46,0.0,355.3,6764.76,2131.82,772.16
1136,F39281,1800.0,108.0,219.9,1800.0,2392.5,-592.5
1137,F39281,1130.5,421.11,421.11,1130.5,421.11,709.39
1138,F39283,675.97,89.76,89.76,675.97,89.76,586.21
1139,F39283,730.17,72.34,72.34,730.17,72.34,657.83
1140,F39284,1677.0,0.0,521.39,2576.7,625.1,1155.61
1141,F39284,2445.0,0.0,219.9,2576.7,625.1,817.91
1142,F39285,698.0,0.0,0.0,2792.0,0.0,698.0
1143,F39291,1475.3,0.0,315.51,2576.7,625.1,1159.79
1144,F39291,942.7,108.0,640.51,9159.75,1921.52,684.8
1145,F39294,899.0,0.0,197.53,899.0,197.53,701.47
1146,F39300,619.5,0.0,76.71,3717.0,460.25,542.79
1147,F39303,699.5,0.0,70.7,699.5,70.7,628.8
1148,F39306,650.0,316.45,316.45,650.0,316.45,333.55
1149,F39312,413.4,0.0,93.3,2480.4,559.81,320.1
1150,F39312,415.0,0.0,100.7,4150.0,1007.01,314.3
1151,F39312,407.0,124.77,124.77,4070.0,1247.67,282.23
1152,F39312,541.25,0.0,132.16,5412.5,1321.62,409.09
1153,F39312,708.0,0.0,138.9,4956.0,972.31,569.1
1154,F39312,488.0,0.0,119.27,4880.0,1192.74,368.73
1155,F39312,1615.25,0.0,52.12,2576.7,521.21,1563.13
1156,F39315,2056.2,108.0,586.32,6168.6,1758.97,1469.88
1157,F39320,662.57,0.0,47.84,662.57,47.84,614.73
1158,F39320,815.07,0.0,99.37,815.07,99.37,715.7
1159,F39320,876.98,0.0,142.2,876.98,142.2,734.78
1160,F39320,588.0,0.0,39.85,588.0,39.85,548.15
1161,F39324,792.11,131.45,131.45,7921.1,1314.54,660.66
1162,F39324,798.79,137.63,137.63,7987.9,1376.26,661.16
1163,F39324,984.15,203.69,203.69,984.15,203.69,780.46
1164,F39324,699.47,126.29,126.29,699.47,126.29,573.18
1165,F39326,705.5,127.62,127.62,2116.5,382.87,577.88
1166,F39327,2895.47,108.0,219.9,2576.7,625.1,1776.08
1167,F39332,670.69,331.33,331.33,670.69,331.33,339.36
1168,F39334,1466.21,379.55,379.55,1466.21,379.55,1086.66
1169,F39340,1026.8,82.34,82.34,6160.8,494.02,944.46
1170,F39340,1165.0,245.96,245.96,6990.0,1475.75,919.04
1171,F39340,485.0,67.84,67.84,485.0,67.84,417.16
1172,F39340,942.7,108.0,219.9,2576.7,625.1,684.8
1173,F39342,942.7,108.0,219.9,2576.7,625.1,684.8
1174,F39343,720.0,130.12,130.12,3600.0,650.58,589.88
1175,F39345,195.0,78.68,78.68,1170.0,472.05,116.32
1176,F39346,1018.0,414.84,414.84,1018.0,414.84,603.16
1177,F39347,1018.0,414.84,414.84,2036.0,829.67,603.16
1178,F39349,906.05,117.24,117.24,906.05,117.24,788.81
1179,F39351,609.84,173.0,173.0,609.84,173.0,436.84
1180,F39351,813.1,222.0,222.0,813.1,222.0,591.1
1181,F39352,353.45,57.6,57.6,353.45,57.6,295.85
1182,F39353,925.0,218.33,218.33,1850.0,436.67,706.67
1183,F39358,805.5,57.07,57.07,805.5,57.07,748.43
1184,F39359,553.0,0.0,96.96,4424.0,775.7,456.04
1185,F39361,840.0,0.0,160.02,4200.0,800.11,679.98
1186,F39363,942.7,108.0,219.9,9538.0,625.1,684.8
1187,F39364,565.4,90.42,90.42,1696.2,271.25,474.98
1188,F39365,1219.74,251.37,251.37,2576.7,625.1,968.37
1189,F39365,1022.67,213.77,213.77,6136.02,1282.59,808.9
1190,F39366,1386.16,291.33,291.33,2576.7,2913.27,1094.83
1191,F39372,790.0,89.76,89.76,790.0,89.76,700.24
1192,F39372,790.0,72.34,72.34,790.0,72.34,717.66
1193,F39372,852.0,150.44,150.44,852.0,150.44,701.56
1194,F39372,755.0,53.71,53.71,755.0,53.71,701.29
1195,F39372,852.0,108.81,108.81,852.0,108.81,743.19
1196,F39374,2400.0,472.22,472.22,7200.0,1416.65,1927.78
1197,F39376,620.2,170.55,170.55,620.2,170.55,449.65
1198,F39379,1642.35,0.0,463.36,3284.7,926.71,1178.99
1199,F39384,942.7,0.0,219.9,8121.2,625.1,684.8
1200,F39385,742.45,166.83,166.83,742.45,166.83,575.62
